english,korean,example,meaning,level
apple,사과,I ate an apple.,나 사과 하나 먹었어.,easy
water,물,Drink plenty of water.,물 많이 마셔.,easy
happy,행복한,She feels happy today.,걔 오늘 기분 좋아 보여.,easy
school,학교,The school is large.,그 학교 되게 커.,easy
family,가족,My family is important to me.,우리 가족이 제일 소중해.,easy
book,책,She read a new book.,걔 새 책 읽었어.,easy
run,달리다,I like to run in the park.,나 공원에서 달리는 거 좋아해.,easy
cat,고양이,The cat is sleeping.,고양이 자고 있어.,easy
food,음식,The food is delicious.,음식 진짜 맛있다.,easy
friend,친구,He is my best friend.,걔가 내 베프야.,easy
sleep,자다,He will sleep early.,걔 오늘 일찍 잘 거래.,easy
color,색깔,Blue is my favorite color.,나는 파란색이 제일 좋아.,easy
study,공부하다,I study every day.,나 매일 공부해.,easy
clean,청소하다,Please clean your room.,방 좀 치워줘.,easy
play,놀다,Children play outside.,애들이 밖에서 놀고 있어.,easy
music,음악,I listen to music.,음악 들으면서 쉬어.,easy
money,돈,He saved a lot of money.,걔 돈 꽤 모았어.,easy
letter,편지,Write a letter to your friend.,친구한테 편지 좀 써봐.,easy
pen,펜,Pass me the pen.,펜 좀 건네줄래?,easy
window,창문,Open the window.,창문 좀 열어줘.,easy
table,테이블,Put the bag on the table.,가방 테이블 위에 둬.,easy
chair,의자,This chair is comfortable.,이 의자 진짜 편해.,easy
bird,새,The bird is flying.,새가 날아가고 있어.,easy
rain,비,It is raining today.,오늘 비 온다.,easy
flower,꽃,That flower is beautiful.,저 꽃 진짜 예쁘다.,easy
tree,나무,The tree is very tall.,저 나무 엄청 크다.,easy
market,시장,We went to the market.,시장에 같이 갔어.,easy
milk,우유,He drinks milk every morning.,걔 아침마다 우유 마셔.,easy
sun,태양,The sun is bright.,해가 진짜 쨍쨍해.,easy
car,자동차,My car is new.,내 차 새거야.,easy
banana,바나나,Monkeys like bananas.,원숭이들이 바나나 좋아하지.,easy
fish,물고기,I saw many fish.,물고기 진짜 많더라.,easy
watch,보다,Watch the movie with me.,같이 영화 보자.,easy
door,문,Please close the door.,문 좀 닫아줄래?,easy
mother,어머니,My mother is kind.,우리 엄마 진짜 친절해.,easy
father,아버지,His father is a teacher.,걔 아빠 선생님이야.,easy
smile,미소짓다,She smiled at me.,걔 나한테 웃어줬어.,easy
answer,대답하다,Please answer the question.,질문에 좀 답해봐.,easy
question,질문,Do you have a question?,궁금한 거 있어?,easy
store,가게,We went to the store.,가게 같이 다녀왔어.,easy
cloud,구름,The cloud looks like a rabbit.,구름이 토끼처럼 보여.,easy
dress,드레스,She wore a blue dress.,걔 파란 드레스 입었어.,easy
light,빛,The light is on.,불 켜져 있어.,easy
picture,사진,Take a picture.,사진 좀 찍어줘.,easy
street,거리,The street is crowded.,거리가 사람들로 북적여.,easy
bag,가방,Where is my bag?,내 가방 어디갔지?,easy
